Navigational position ( -0.415656565956, 2.73522012228e-16,    1.99259288732)
Navigational position (   3.13391855284, 2.73522012228e-16,     3.9485764565)
Navigational position (   2.98876864092, 2.73522012228e-16,     1.0930496416)
Navigational position (   3.37143659053, 2.73522012228e-16,  -0.988451589773)
Navigational position (   3.80688632629, 2.73522012228e-16,    1.65787912147)
Navigational position (   3.89925445206, 2.73522012228e-16,    1.01983100532)
Navigational position (   4.26872695513, 2.73522012228e-16,   -3.06995282115)
Navigational position (   4.61180856513, 2.73522012228e-16,   -1.08258983642)
Navigational position (  0.903888087872, 2.73522012228e-16,  0.0366093181397)
Navigational position (   1.95952381093, 2.73522012228e-16,   0.381782889171)
